Function,Subsystem,NCBI GI,locus,System,Category
Transposase,Transposase, , ,Transposable elements,"Phages, Prophages, Transposable elements, Plasmids"
"3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II (EC 3.5.4.25)","Riboflavin, FMN and FAD metabolism; <br>Riboflavin, FMN and FAD metabolism; <br>Riboflavin synthesis cluster; <br>Riboflavin synthesis cluster; <br>riboflavin to FAD", , ,"Riboflavin, FMN, FAD","Cofactors, Vitamins, Prosthetic Groups, Pigments"
Lipopolysaccharide export system permease protein LptF,Lipoprotein sorting system, , ,Gram-Negative cell wall components,Cell Wall and Capsule
Outer membrane lipoprotein carrier protein LolA,Lipoprotein sorting system, , ,Gram-Negative cell wall components,Cell Wall and Capsule
DNA translocase FtsK,- none -, , ,none,none
Diacylglycerol kinase (EC 2.7.1.107),Riboflavin synthesis cluster, , ,none,none
"Thiol peroxidase, Tpx-type (EC 1.11.1.15)",Thioredoxin-disulfide reductase, , ,Sulfur Metabolism - no subcategory,Sulfur Metabolism
Integral membrane protein TerC,- none -, , ,none,none
DNA topoisomerase IV subunit A (EC 5.99.1.3),DNA topoisomerases, , ,DNA replication,DNA Metabolism
DNA topoisomerase IV subunit B (EC 5.99.1.3),DNA topoisomerases, , ,DNA replication,DNA Metabolism
Chorismate synthase (EC 4.2.3.5),Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate), , ,Aromatic amino acids and derivatives,Amino Acids and Derivatives
Proton/glutamate symporter,none, , ,Uni- Sym- and Antiporters,Membrane Transport
Excinuclease ABC subunit A paralog in greater Bacteroides group,"DNA repair, UvrABC system", , ,DNA repair,DNA Metabolism
RNA polymerase ECF-type sigma factor,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
Endonuclease III (EC 4.2.99.18),Nuclease, , ,DNA Metabolism - no subcategory; RNA processing and modification,DNA Metabolism; RNA Metabolism
"Thiol peroxidase, Bcp-type (EC 1.11.1.15)",Thioredoxin-disulfide reductase, , ,Sulfur Metabolism - no subcategory,Sulfur Metabolism
Fumarylacetoacetase (EC 3.7.1.2),Homogentisate pathway of aromatic compound degradation; <br>Pterin carbinolamine dehydratase; <br>Salicylate and gentisate catabolism, , ,Folate and pterines; Metabolism of central aromatic intermediates,"Cofactors, Vitamins, Prosthetic Groups, Pigments; Metabolism of Aromatic Compounds"
Serine hydroxymethyltransferase (EC 2.1.2.1),5-FCL-like protein; <br>Glycine Biosynthesis; <br>Glycine and Serine Utilization; <br>Serine Biosynthesis, , ,"Alanine, serine, and glycine; Folate and pterines","Amino Acids and Derivatives; Cofactors, Vitamins, Prosthetic Groups, Pigments"
tRNA-(ms[2]io[6]A)-hydroxylase,- none -, , ,none,none
GCN5-related N-acetyltransferase,- none -, , ,none,none
Related to MCBG protein,- none -, , ,none,none
FIG024850: short form Mg-chelase associated protein with vWA domain,CBSS-336982.3.peg.1011, , ,none,none
"Magnesium chelatase, subunit ChlI (EC 6.6.1.1)",CBSS-336982.3.peg.1011, , ,none,none
FIG00552317: hypothetical protein,- none -, , ,none,none
FIG00552317: hypothetical protein,- none -, , ,none,none
Thioredoxin,- none -, , ,none,none
RNA polymerase ECF-type sigma factor,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
"Hydrolase, alpha/beta hydrolase fold family",- none -, , ,none,none
Thioredoxin,- none -, , ,none,none
Alkyl hydroperoxide reductase subunit C-like protein,Oxidative stress; <br>Thioredoxin-disulfide reductase, , ,Oxidative stress; Sulfur Metabolism - no subcategory,Stress Response; Sulfur Metabolism
