Function,Subsystem,NCBI GI,locus,System,Category
Translation initiation factor SUI1-related protein,Translation initiation factors bacterial, , ,Protein biosynthesis,Protein Metabolism
Oxidoreductase,- none -, , ,none,none
Phosphodiesterase/alkaline phosphatase D,- none -, , ,none,none
Protein PhnA,- none -, , ,none,none
"TTP-dependent protein, related to E1 component of pyruvate/2-oxoglutarate/acetoin dehydrogenase",- none -, , ,none,none
Fatty acid hydroxylase family (carotene hydroxylase/sterol desaturase),- none -, , ,none,none
Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily,- none -, , ,none,none
Naphthoate synthase (EC 4.1.3.36),- none -, , ,none,none
"1,4-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)",- none -, , ,none,none
Metal-dependent hydrolase,- none -, , ,none,none
O-succinylbenzoate synthase (EC 4.2.1.113),Muconate lactonizing enzyme family, , ,Miscellaneous - no subcategory,Miscellaneous
Uncharacterized MFS-type transporter,none, , ,Membrane Transport - no subcategory,Membrane Transport
response regulator receiver domain protein,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Acetyl-CoA synthetase (EC 6.2.1.1),- none -, , ,none,none
NAD binding site,- none -, , ,none,none
SAM-dependent methyltransferase,- none -, , ,none,none
Naringenin-chalcone synthase (EC 2.3.1.74),- none -, , ,none,none
"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)",Fatty Acid Biosynthesis FASII, , ,Fatty acids,"Fatty Acids, Lipids, and Isoprenoids"
"3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)",Fatty Acid Biosynthesis FASII, , ,Fatty acids,"Fatty Acids, Lipids, and Isoprenoids"
Acyl carrier protein,Fatty Acid Biosynthesis FASII, , ,Fatty acids,"Fatty Acids, Lipids, and Isoprenoids"
DEDDh 3&#39;-5&#39; exonuclease domain of the epsilon subunit of DNA polymerase III,DNA polymerase; DNA replication strays; Nuclease, , ,DNA Metabolism - no subcategory; DNA replication; RNA processing and modification,DNA Metabolism; RNA Metabolism
Predicted signal-transduction protein containing cAMP-binding and CBS domains,CBSS-342610.3.peg.1536; <br>cAMP signaling in bacteria, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Related to MCBG protein,- none -, , ,none,none
Serine hydroxymethyltransferase (EC 2.1.2.1),5-FCL-like protein; <br>Glycine Biosynthesis; <br>Glycine and Serine Utilization; <br>Serine Biosynthesis, , ,"Alanine, serine, and glycine; Folate and pterines","Amino Acids and Derivatives; Cofactors, Vitamins, Prosthetic Groups, Pigments"
Fumarylacetoacetase (EC 3.7.1.2),Homogentisate pathway of aromatic compound degradation; <br>Salicylate and gentisate catabolism, , ,Metabolism of central aromatic intermediates,Metabolism of Aromatic Compounds
N-succinyl-L-citrulline:glutamate succinyltransferase,- none -, , ,none,none
Argininosuccinate synthase (EC 6.3.4.5),- none -, , ,none,none
N-succinyl-gamma-glutamyl-phosphate reductase,- none -, , ,none,none
N-succinylornithine aminotransferase,- none -, , ,none,none
N-succinylornithine carbamoyltransferase (EC 2.1.3.11),- none -, , ,none,none
N-succinylglutamate kinase,- none -, , ,none,none
N-succinyl-L-citrulline deacetylase,- none -, , ,none,none
Argininosuccinate lyase (EC 4.3.2.1),- none -, , ,none,none
N-carbamoylputrescine amidase (EC 3.5.1.53),- none -, , ,none,none
Agmatine deiminase (EC 3.5.3.12),- none -, , ,none,none
Thioredoxin,- none -, , ,none,none
NLP/P60 family protein,- none -, , ,none,none
Modulator of drug activity B,- none -, , ,none,none
"Transcriptional regulator, LysR family",none, , ,RNA processing and modification,RNA Metabolism
Putative large secreted protein SCO0341,- none -, , ,none,none
"Multidrug efflux protein, outer membrane component",- none -, , ,none,none
"RND efflux system, membrane fusion protein",- none -, , ,none,none
HlyB/MsbA family ABC transporter,none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
"Transcriptional regulator, Crp/Fnr family",none, , ,Oxidative stress; RNA processing and modification,RNA Metabolism; Stress Response
Methionine ABC transporter ATP-binding protein,none, , ,"ABC-transporters; Lysine, threonine, methionine, and cysteine; Membrane Transport - no subcategory",Amino Acids and Derivatives; Membrane Transport
Methionine ABC transporter permease protein,none, , ,"ABC-transporters; Lysine, threonine, methionine, and cysteine; Membrane Transport - no subcategory",Amino Acids and Derivatives; Membrane Transport
Methionine ABC transporter substrate-binding protein,<br>Methionine Degradation; Methionine Biosynthesis; none, , ,"Lysine, threonine, methionine, and cysteine; Membrane Transport - no subcategory",Amino Acids and Derivatives; Membrane Transport
UPF0126 inner membrane protein BT_1201,- none -, , ,none,none
