Function,Subsystem,NCBI GI,locus,System,Category
partially conserved hypothetical protein,- none -, , ,none,none
Pectinesterase (EC 3.1.1.11),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",- none -, , ,none,none
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
Putative anti-sigma factor,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
RNA polymerase ECF-type sigma factor,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
Polygalacturonase (EC 3.2.1.15),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
rhamnogalacturonan acetylesterase,- none -, , ,none,none
rhamnogalacturonan acetylesterase,- none -, , ,none,none
Rhamnogalacturonides degradation protein RhiN,D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
Polygalacturonase (EC 3.2.1.15),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
Hexuronate utilization operon transcriptional repressor ExuR,D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
Altronate dehydratase (EC 4.2.1.7),- none -, , ,none,none
Altronate oxidoreductase (EC 1.1.1.58),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) @ 2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
2-dehydro-3-deoxygluconokinase (EC 2.7.1.45),- none -, , ,none,none
Uronate isomerase (EC 5.3.1.12),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (EC 1.1.1.127) @ 2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125),D-Galacturonate and D-Glucuronate Utilization; <br>D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase (EC 5.3.1.17),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
Hexuronate transporter,none, , ,Membrane Transport - no subcategory; Monosaccharides,Carbohydrates; Membrane Transport
Periplasmic ligand-binding sensor domain COG3292 / BaeS-type histidine kinase / OmpR-type DNA-binding response regulator,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Calcineurin-like phosphoesterase,- none -, , ,none,none
"N-acetylglucosamine related transporter, NagX",none, , ,Membrane Transport - no subcategory,Membrane Transport
Alpha-N-acetylglucosaminidase (EC 3.2.1.50),- none -, , ,none,none
"Alpha-1,2-mannosidase",Mannose Metabolism, , ,Monosaccharides,Carbohydrates
"Glycosyl hydrolase, family 88",- none -, , ,none,none
"Alpha-1,2-mannosidase",Mannose Metabolism, , ,Monosaccharides,Carbohydrates
"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",- none -, , ,none,none
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
Inositol oxygenase (EC 1.13.99.1),Inositol catabolism, , ,Sugar alcohols,Carbohydrates
Sodium/myo-inositol cotransporter,Inositol catabolism; none, , ,Membrane Transport - no subcategory; Sugar alcohols,Carbohydrates; Membrane Transport
Glucosamine-6-phosphate deaminase (EC 3.5.99.6) / domain similar to N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase,- none -, , ,none,none
D-mannonate oxidoreductase (EC 1.1.1.57),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
Pterin-4-alpha-carbinolamine dehydratase (EC 4.2.1.96),Pterin carbinolamine dehydratase; <br>Pterin metabolism, , ,Folate and pterines,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
N-Acyltransferase,- none -, , ,none,none
Transcription regulator [contains diacylglycerol kinase catalytic domain],none, , ,RNA processing and modification,RNA Metabolism
Bis-ABC ATPase YheS,- none -, , ,none,none
FAD-dependent cmnm(5)s(2)U34 oxidoreductase,- none -, , ,none,none
GldN,- none -, , ,none,none
GldJ,- none -, , ,none,none
DNA topoisomerase I (EC 5.99.1.2),"CBSS-272943.3.peg.1367; <br>DNA topoisomerases, Type I, ATP-independent", , ,DNA replication,DNA Metabolism
tRNA-i(6)A37 methylthiotransferase (EC 2.8.4.3),tRNA methylthiolation, , ,RNA processing and modification,RNA Metabolism
Transcriptional regulator,none, , ,RNA processing and modification,RNA Metabolism
Protein translocase membrane subunit SecG,Protein transport, , ,Protein transport,Membrane Transport
Heat shock protein 10 kDa family chaperone GroES,none, , ,Heat shock,Stress Response
Heat shock protein 60 kDa family chaperone GroEL,none, , ,Heat shock,Stress Response
DedA protein,DedA family of inner membrane proteins; <br>Uptake of selenate and selenite, , ,Detoxification; Miscellaneous - no subcategory,Miscellaneous; Stress Response
"Metallo-beta-lactamase family protein, RNA-specific",Ribonucleases in Bacillus, , ,RNA processing and modification,RNA Metabolism
A. fulgidus predicted coding region AF1548,- none -, , ,none,none
Outer membrane porin F precursor,- none -, , ,none,none
"Regulatory sensor-transducer, BlaR1/MecR1 family / TonB-dependent receptor",Ton and Tol transopt system; Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
SSU ribosomal protein S15p (S13e),Ribosome LSU/SSU bacterial; Ribosome SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8),"RNA processing and degradation, bacterial", , ,RNA processing and modification,RNA Metabolism
RNA polymerase sigma factor RpoD,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
Ribulose-phosphate 3-epimerase (EC 5.1.3.1),Pentose phosphate pathway; <br>Riboflavin synthesis cluster, , ,Central carbohydrate metabolism,Carbohydrates
Fructokinase (EC 2.7.1.4),- none -, , ,none,none
"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",- none -, , ,none,none
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
Levanase (EC 3.2.1.65),- none -, , ,none,none
D-xylose proton-symporter XylE,Xylose utilization; none, , ,Monosaccharides; Uni- Sym- and Antiporters,Carbohydrates; Membrane Transport
alpha-galactosidase (EC 3.2.1.22),- none -, , ,none,none
FIG00693796: hypothetical protein,- none -, , ,none,none
Transamidase GatB domain protein,- none -, , ,none,none
