Function,Subsystem,NCBI GI,locus,System,Category
Phosphoglycerate/bisphosphoglycerate mutase,- none -, , ,none,none
Polyphosphate kinase (EC 2.7.4.1),Phosphate metabolism; <br>Polyphosphate; <br>Purine conversions, , ,Phosphorus Metabolism - no subcategory; Purines,Nucleosides and Nucleotides; Phosphorus Metabolism
Exopolyphosphatase (EC 3.6.1.11),Phosphate metabolism; <br>Polyphosphate, , ,Phosphorus Metabolism - no subcategory,Phosphorus Metabolism
DNA polymerase III subunits gamma and tau (EC 2.7.7.7),DNA processing cluster, , ,"DNA uptake, competence",DNA Metabolism
Ferredoxin reductase,Anaerobic respiratory reductases, , ,Electron accepting reactions,Respiration
16S rRNA (guanine(966)-N(2))-methyltransferase (EC 2.1.1.171),CBSS-226186.1.peg.3978; <br>CBSS-266117.6.peg.1260; <br>CBSS-269801.1.peg.1715; <br>RNA methylation, , ,RNA processing and modification,RNA Metabolism
FIG032012: hypothetical protein,CBSS-226186.1.peg.3978, , ,none,none
RecD-like DNA helicase Atu2026,DNA helicase, , ,DNA Metabolism - no subcategory,DNA Metabolism
FIG00652041: hypothetical protein,- none -, , ,none,none
3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38),- none -, , ,none,none
Spermidine synthase-like protein,- none -, , ,none,none
Acyltransferase,- none -, , ,none,none
Transcriptional regulator,none, , ,RNA processing and modification,RNA Metabolism
"Transcriptional regulator, AsnC family",none, , ,RNA processing and modification,RNA Metabolism
Deoxyhypusine synthase (EC 2.5.1.46),Alkaloid biosynthesis from L-lysine; <br>Modification of eukaryotic initiation factor 5A, , ,Plant Alkaloids; Protein processing and modification,Protein Metabolism; Secondary Metabolism
Biosynthetic arginine decarboxylase (EC 4.1.1.19),Arginine and Ornithine Degradation; <br>Polyamine Metabolism, , ,"Arginine; Arginine; urea cycle, polyamines; urea cycle, polyamines",Amino Acids and Derivatives
3-dehydroquinate synthase (EC 4.2.3.4),Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate), , ,Aromatic amino acids and derivatives,Amino Acids and Derivatives
Carbapenem antibiotics biosynthesis protein carD,Antibiotics biosynthesis, , ,"Bacterial cytostatics, differentiation factors and antibiotics",Secondary Metabolism
"Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4) / Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)",Dehydrogenase complexes; <br>Dehydrogenase complexes; <br>Isoleucine degradation; <br>Isoleucine degradation; <br>Leucine Degradation and HMG-CoA Metabolism; <br>Leucine Degradation and HMG-CoA Metabolism; <br>Valine degradation; <br>Valine degradation, , ,Branched-chain amino acids; Central carbohydrate metabolism,Amino Acids and Derivatives; Carbohydrates
Aminopeptidase N,Aminopeptidases; Protein degradation, , ,Protein degradation,Protein Metabolism
Excinuclease ABC subunit A,"DNA repair, UvrABC system", , ,DNA repair,DNA Metabolism
Chloride channel protein,- none -, , ,none,none
Acyl carrier protein phosphodiesterase (EC 3.1.4.14),Fatty Acid Biosynthesis FASII, , ,Fatty acids,"Fatty Acids, Lipids, and Isoprenoids"
Phosphomannomutase (EC 5.4.2.8) / Phosphoglucosamine mutase (EC 5.4.2.10),Mannose Metabolism, , ,Monosaccharides,Carbohydrates
Peptide-methionine (R)-S-oxide reductase MsrB (EC 1.8.4.12),- none -, , ,none,none
Aspartate racemase (EC 5.1.1.13),"Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis", , ,"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation",Amino Acids and Derivatives
SAM-dependent methyltransferase,- none -, , ,none,none
Bll2902 protein,- none -, , ,none,none
UPF0061 protein YdiU,- none -, , ,none,none
"Peptidase, S41 family",Protein degradation, , ,Protein degradation,Protein Metabolism
"Efflux ABC transporter, permease/ATP-binding protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
Branched-chain amino acid dehydrogenase [deaminating] (EC 1.4.1.9)(EC 1.4.1.23),- none -, , ,none,none
Transcription termination protein NusB,Riboflavin synthesis cluster; <br>Transcription factors bacterial, , ,Transcription,RNA Metabolism
Protein translocase subunit YajC,Protein transport, , ,Protein transport,Membrane Transport
DUF1801 domain-containing protein,- none -, , ,none,none
Ribosomal protein S6--L-glutamate ligase,Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
Tripeptide aminopeptidase (EC 3.4.11.4),Aminopeptidases; Protein degradation, , ,Protein degradation,Protein Metabolism
Fumarate hydratase class II (EC 4.2.1.2),- none -, , ,none,none
Uncharacterized protein CA2559_09228,- none -, , ,none,none
Putative TonB-dependent receptor,Ton and Tol transopt system, , ,Membrane Transport - no subcategory,Membrane Transport
"Uncharacterized protein YfgD, not an arsenate reductase",- none -, , ,none,none
Uncharacterized integral membrane protein Fjoh_4783,- none -, , ,none,none
O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26),Menaquinone and Phylloquinone Biosynthesis; <br>Menaquinone and Phylloquinone Biosynthesis -- gjo, , ,Quinone cofactors,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
tRNA/rRNA methyltransferase,RNA methylation, , ,RNA processing and modification,RNA Metabolism
Peptidase M1 family protein,Protein degradation, , ,Protein degradation,Protein Metabolism
Domain of unknown function / Pseudouridine synthase,- none -, , ,none,none
Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4),Leucine Degradation and HMG-CoA Metabolism, , ,Branched-chain amino acids,Amino Acids and Derivatives
Aldehyde dehydrogenase (EC 1.2.1.3),"Methylglyoxal Metabolism; <br>Methylglyoxal Metabolism; <br>Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate", , ,Central carbohydrate metabolism,Carbohydrates
"Transcriptional regulator, AraC family",none, , ,RNA processing and modification,RNA Metabolism
Peptide chain release factor 2 @ programmed frameshift-containing,Programmed frameshift; <br>Programmed frameshift; <br>Translation termination factors bacterial, , ,Protein biosynthesis,Protein Metabolism
L-allo-threonine aldolase (EC 2.1.2.1),Threonine degradation, , ,"Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
Nucleoid-associated protein YaaK,- none -, , ,none,none
Protease II (EC 3.4.21.83),Protein degradation, , ,Protein degradation,Protein Metabolism
Cystathionine beta-synthase (EC 4.2.1.22),Cysteine Biosynthesis; <br>Glycine and Serine Utilization; <br>Methionine Biosynthesis, , ,"Alanine, serine, and glycine; Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
Cysteine desulfurase (EC 2.8.1.7),Alanine biosynthesis; <br>Iron-sulfur cluster assembly; <br>mnm5U34 biosynthesis bacteria, , ,"Alanine, serine, and glycine; Plant-Prokaryote DOE project; RNA processing and modification",Amino Acids and Derivatives; Miscellaneous; RNA Metabolism
