Function,Subsystem,NCBI GI,locus,System,Category
Uncharacterized MFS-type transporter,none, , ,Membrane Transport - no subcategory,Membrane Transport
"1,4-alpha-glucan branching enzyme (EC 2.4.1.18)",- none -, , ,none,none
"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",- none -, , ,none,none
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
"Transcriptional regulator, LacI/PurR family",none, , ,RNA processing and modification,RNA Metabolism
Predicted maltose transporter MalT,none, , ,Membrane Transport - no subcategory,Membrane Transport
Beta-phosphoglucomutase (EC 5.4.2.6),- none -, , ,none,none
Maltose phosphorylase (EC 2.4.1.8),- none -, , ,none,none
"Glucan 1,4-alpha-glucosidase (EC 3.2.1.3)",- none -, , ,none,none
Neopullulanase (EC 3.2.1.135),- none -, , ,none,none
Periplasmic alpha-amylase (EC 3.2.1.1),- none -, , ,none,none
Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46),- none -, , ,none,none
FIG00648790: hypothetical protein,- none -, , ,none,none
Phosphoglycolate phosphatase (EC 3.1.3.18),"2-phosphoglycolate salvage; <br>Glycolate, glyoxylate interconversions", , ,Central carbohydrate metabolism; DNA repair,Carbohydrates; DNA Metabolism
cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases,- none -, , ,none,none
MBL-fold metallo-hydrolase superfamily,- none -, , ,none,none
Benzodiazepine receptor TspO,- none -, , ,none,none
Diphosphomevalonate decarboxylase (EC 4.1.1.33),Isoprenoid Biosynthesis; <br>Mevalonate Branch of Isoprenoid Biosynthesis, , ,Isoprenoids,"Fatty Acids, Lipids, and Isoprenoids"
Phosphomevalonate kinase (EC 2.7.4.2),Isoprenoid Biosynthesis; <br>Mevalonate Branch of Isoprenoid Biosynthesis, , ,Isoprenoids,"Fatty Acids, Lipids, and Isoprenoids"
Uncharacterized membrane-anchored protein,- none -, , ,none,none
"Similar to (S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase",- none -, , ,none,none
LSU rRNA pseudouridine(2605) synthase (EC 5.4.99.22),Pseudouridinylation, , ,RNA processing and modification,RNA Metabolism
probable membrane protein NMA1128,- none -, , ,none,none
N-acetylglucosaminyltransferase (EC 2.4.1.-),- none -, , ,none,none
Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4),Nuclease, , ,DNA Metabolism - no subcategory,DNA Metabolism
Oxygen-independent coproporphyrinogen-III oxidase-like protein YggW,- none -, , ,none,none
N-formylkynurenine (Aryl-) formamidase (EC 3.5.1.9),- none -, , ,none,none
Histone acetyltransferase HPA2 and related acetyltransferases,- none -, , ,none,none
TonB-dependent receptor,Ton and Tol transopt system; Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
phytase,- none -, , ,none,none
Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49),"Pyruvate metabolism I: anaplerotic reactions, PEP", , ,Central carbohydrate metabolism,Carbohydrates
FIG00018398: hypothetical regulator,- none -, , ,none,none
"Saccharopine dehydrogenase [NADP, L-glutamate-forming] (EC 1.5.1.10)",- none -, , ,none,none
"Regulatory sensor-transducer, BlaR1/MecR1 family / TonB-dependent receptor",Ton and Tol transopt system; Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Murein Hydrolases; <br>Recycling of Peptidoglycan Amino Acids, , ,Cell Wall and Capsule - no subcategory,Cell Wall and Capsule
"Transcriptional regulator, MecI family",none, , ,RNA processing and modification,RNA Metabolism
"Regulatory sensor-transducer, BlaR1/MecR1 family / TonB-dependent receptor",Ton and Tol transopt system; Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
N-acyl-L-amino acid amidohydrolase (EC 3.5.1.14),- none -, , ,none,none
Error-prone repair homolog of DNA polymerase III alpha subunit (EC 2.7.7.7),DNA polymerase, , ,DNA repair; DNA replication,DNA Metabolism
DNA polymerase IV (EC 2.7.7.7),"DNA repair, bacterial", , ,DNA repair,DNA Metabolism
"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",- none -, , ,none,none
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
peptidase M12A astacin,Protein degradation, , ,Protein degradation,Protein Metabolism
"Transcriptional regulator, AraC family",none, , ,RNA processing and modification,RNA Metabolism
"Transcriptional regulator, AraC family",none, , ,RNA processing and modification,RNA Metabolism
Tetracycline resistance element mobilization regulatory protein RteC,none, , ,Resistance to antibiotics and toxic compounds,"Virulence, Disease and Defense"
FIG01092183: hypothetical protein,- none -, , ,none,none
"DNA topoisomerase III, Bacteroidales-type (EC 5.99.1.2)","DNA topoisomerases, Type I, ATP-independent", , ,DNA replication,DNA Metabolism
Putative DNA methylase,DNA methylation, , ,DNA Metabolism - no subcategory,DNA Metabolism
Tetracycline resistance element mobilization regulatory protein RteC,none, , ,Resistance to antibiotics and toxic compounds,"Virulence, Disease and Defense"
Flavodoxin reductases (ferredoxin-NADPH reductases) family 1,Anaerobic respiratory reductases, , ,Electron accepting reactions,Respiration
NAD(P)H dehydrogenase (quinone) (EC 1.6.5.2),- none -, , ,none,none
"Transcriptional regulator, AraC family",none, , ,RNA processing and modification,RNA Metabolism
Short-chain dehydrogenase,- none -, , ,none,none
